dim,total,iter,pi_est,count
2,50000,72,3.13960000,39245
2,50000,73,3.14864000,39358
2,50000,74,3.14248000,39281
2,50000,75,3.15176000,39397
2,50000,76,3.13480000,39185
2,50000,77,3.13752000,39219
2,50000,78,3.13064000,39133
2,50000,79,3.14512000,39314
2,50000,80,3.14368000,39296
2,50000,81,3.13760000,39220
2,50000,82,3.15088000,39386
2,50000,83,3.13560000,39195
2,50000,84,3.14480000,39310
2,50000,85,3.14232000,39279
2,50000,86,3.14832000,39354
2,50000,87,3.12568000,39071
2,50000,88,3.14784000,39348
2,50000,89,3.14848000,39356
2,50000,90,3.15256000,39407
2,50000,91,3.14384000,39298
2,50000,92,3.14880000,39360
2,50000,93,3.13752000,39219
2,50000,94,3.14848000,39356
2,50000,95,3.14088000,39261
2,50000,96,3.13472000,39184
2,50000,97,3.14592000,39324
2,50000,98,3.14832000,39354
2,50000,99,3.14344000,39293
2,50000,summary,3.14238000,0.00622402
2,100000,0,3.14108000,78527
2,100000,1,3.14540000,78635
2,100000,2,3.14980000,78745
2,100000,3,3.14136000,78534
2,100000,4,3.14328000,78582
2,100000,5,3.14288000,78572
2,100000,6,3.14388000,78597
2,100000,7,3.14660000,78665
2,100000,8,3.14672000,78668
2,100000,9,3.14420000,78605
2,100000,10,3.14628000,78657
2,100000,11,3.14348000,78587
2,100000,12,3.13296000,78324
2,100000,13,3.14440000,78610
2,100000,14,3.14364000,78591
2,100000,15,3.14936000,78734
2,100000,16,3.14268000,78567
2,100000,17,3.14180000,78545
2,100000,18,3.14516000,78629
2,100000,19,3.13820000,78455
2,100000,20,3.14364000,78591
2,100000,21,3.13904000,78476
2,100000,22,3.14368000,78592
2,100000,23,3.14136000,78534
2,100000,24,3.14092000,78523
2,100000,25,3.13820000,78455
2,100000,26,3.14208000,78552
2,100000,27,3.14208000,78552
2,100000,28,3.14660000,78665
2,100000,29,3.14784000,78696
2,100000,30,3.13944000,78486
2,100000,31,3.14520000,78630
2,100000,32,3.13780000,78445
2,100000,33,3.13932000,78483
2,100000,34,3.13924000,78481
2,100000,35,3.13188000,78297
2,100000,36,3.14480000,78620
